pollscore,sample_size,state,party,candidate_name,pct,win,party_binary
0,571,Washington,DEM,Kamala Harris,55,1,1
0,571,Washington,REP,Donald Trump,40,0,0
0,716,Oregon,DEM,Kamala Harris,53,1,1
0,716,Oregon,REP,Donald Trump,41,0,0
-0.4,788,Florida,DEM,Kamala Harris,47,0,1
-0.4,788,Florida,REP,Donald Trump,52,1,0
-0.8,1440,Arizona,DEM,Kamala Harris,48.6,0,1
-0.8,1440,Arizona,REP,Donald Trump,49.2,0,0
-0.8,1440,Arizona,GRE,Jill Stein,0.7,0,0
-0.8,1440,Arizona,LIB,Chase Oliver,0.1,0,0
-0.8,1440,Arizona,DEM,Kamala Harris,49.3,0,1
-0.8,1440,Arizona,REP,Donald Trump,49.2,0,0
-0.8,1411,Georgia,DEM,Kamala Harris,48.1,0,1
-0.8,1411,Georgia,REP,Donald Trump,49.5,0,0
-0.8,1411,Georgia,LIB,Chase Oliver,1.3,0,0
-0.8,1411,Georgia,IND,Cornel West,0.2,0,0
-0.8,1411,Georgia,GRE,Jill Stein,0.2,0,0
-0.8,1411,Georgia,DEM,Kamala Harris,48.4,0,1
-0.8,1411,Georgia,REP,Donald Trump,50.1,1,0
-0.8,1529,Michigan,DEM,Kamala Harris,46.8,0,1
-0.8,1529,Michigan,REP,Donald Trump,49.6,0,0
-0.8,1529,Michigan,GRE,Jill Stein,1.1,0,0
-0.8,1529,Michigan,IND,Robert F. Kennedy,0.7,0,0
-0.8,1529,Michigan,LIB,Chase Oliver,0.2,0,0
-0.8,1529,Michigan,IND,Cornel West,0.1,0,0
-0.8,1529,Michigan,DEM,Kamala Harris,47.3,0,1
-0.8,1529,Michigan,REP,Donald Trump,50.2,1,0
-0.8,1171,Nevada,DEM,Kamala Harris,48.1,0,1
-0.8,1171,Nevada,REP,Donald Trump,48.4,0,0
-0.8,1171,Nevada,GRE,Jill Stein,1.7,0,0
-0.8,1171,Nevada,LIB,Chase Oliver,0,0,0
-0.8,1171,Nevada,DEM,Kamala Harris,48.4,0,1
-0.8,1171,Nevada,REP,Donald Trump,48.3,0,0
-0.8,1674,North Carolina,DEM,Kamala Harris,49.5,0,1
-0.8,1674,North Carolina,REP,Donald Trump,48.8,0,0
-0.8,1674,North Carolina,GRE,Jill Stein,1.1,0,0
-0.8,1674,North Carolina,LIB,Chase Oliver,0.1,0,0
-0.8,1674,North Carolina,IND,Cornel West,0.1,0,0
-0.8,1674,North Carolina,DEM,Kamala Harris,50.5,1,1
-0.8,1674,North Carolina,REP,Donald Trump,48.8,0,0
-0.8,2048,Pennsylvania,DEM,Kamala Harris,46.5,0,1
-0.8,2048,Pennsylvania,REP,Donald Trump,49.8,0,0
-0.8,2048,Pennsylvania,GRE,Jill Stein,1.9,0,0
-0.8,2048,Pennsylvania,LIB,Chase Oliver,0.5,0,0
-0.8,2048,Pennsylvania,DEM,Kamala Harris,47.4,0,1
-0.8,2048,Pennsylvania,REP,Donald Trump,49.9,0,0
-0.8,932,Wisconsin,DEM,Kamala Harris,48.9,0,1
-0.8,932,Wisconsin,REP,Donald Trump,48.2,0,0
-0.8,932,Wisconsin,LIB,Chase Oliver,0.8,0,0
-0.8,932,Wisconsin,IND,Robert F. Kennedy,0.7,0,0
-0.8,932,Wisconsin,GRE,Jill Stein,0.2,0,0
-0.8,932,Wisconsin,DEM,Kamala Harris,49,0,1
-0.8,932,Wisconsin,REP,Donald Trump,48.4,0,0
-0.4,1029,Georgia,DEM,Kamala Harris,48.8,0,1
-0.4,1029,Georgia,REP,Donald Trump,45.8,0,0
-0.4,813,Georgia,DEM,Kamala Harris,48.3,0,1
-0.4,813,Georgia,REP,Donald Trump,48.5,0,0
-0.4,1029,Georgia,DEM,Kamala Harris,48.3,0,1
-0.4,1029,Georgia,REP,Donald Trump,44.8,0,0
-0.4,1029,Georgia,IND,Cornel West,1,0,0
-0.4,1029,Georgia,GRE,Jill Stein,1,0,0
